iter	Passed	Remaining
400	33071	131874
401	33153	131789
402	33236	131708
403	33322	131640
404	33402	131547
405	33484	131461
406	33564	131370
407	33650	131301
408	33731	131216
409	33809	131116
410	33891	131029
411	33974	130948
412	34056	130864
413	34140	130789
414	34219	130694
415	34304	130622
416	34388	130546
417	34473	130470
418	34552	130375
419	34635	130296
420	34715	130202
421	34795	130112
422	34878	130032
423	34955	129930
424	35033	129829
425	35118	129756
426	35198	129664
427	35282	129589
428	35363	129501
429	35446	129421
430	35530	129344
431	35611	129256
432	35693	129174
433	35774	129083
434	35854	128992
435	35936	128908
436	36016	128817
437	36098	128735
438	36177	128641
439	36263	128570
440	36345	128485
441	36421	128382
442	36500	128288
443	36582	128204
444	36669	128136
445	36751	128052
446	36831	127962
447	36916	127890
448	36993	127789
449	37075	127705
450	37154	127608
451	37236	127527
452	37321	127453
453	37405	127375
454	37486	127288
455	37568	127205
456	37648	127114
457	37729	127026
458	37810	126941
459	37890	126850
460	37975	126777
461	38059	126698
462	38145	126629
463	38227	126546
464	38314	126478
465	38395	126390
466	38481	126322
467	38565	126243
468	38645	126154
469	38728	126074
470	38809	125985
471	38895	125915
472	38977	125833
473	39062	125757
474	39140	125662
475	39223	125581
476	39310	125513
477	39393	125431
478	39472	125339
479	39554	125256
480	39639	125182
481	39720	125093
482	39805	125020
483	39884	124928
484	39967	124847
485	40053	124777
486	40136	124695
487	40221	124620
488	40305	124543
489	40386	124454
490	40469	124377
491	40553	124297
492	40639	124226
493	40724	124150
494	40805	124065
495	40886	123977
496	40968	123893
497	41053	123820
498	41135	123734
499	41220	123660
500	41298	123565
501	41384	123493
502	41465	123405
503	41544	123313
504	41627	123234
505	41708	123148
506	41792	123069
507	41872	122978
508	41957	122904
509	42041	122826
510	42119	122731
511	42202	122649
512	42282	122561
513	42367	122487
514	42451	122407
515	42532	122323
516	42611	122230
517	42697	122157
518	42779	122074
519	42861	121990
520	42943	121906
521	43026	121825
522	43105	121733
523	43189	121657
524	43272	121575
525	43354	121491
526	43438	121412
527	43521	121333
528	43608	121261
529	43691	121183
530	43775	121103
531	43858	121022
532	43941	120943
533	44022	120855
534	44110	120787
535	44195	120712
536	44279	120636
537	44365	120563
538	44453	120494
539	44534	120407
540	44613	120316
541	44696	120236
542	44776	120146
543	44857	120058
544	44945	119992
545	45030	119915
546	45108	119822
547	45188	119732
548	45270	119650
549	45352	119565
550	45441	119501
551	45522	119415
552	45607	119337
553	45692	119261
554	45774	119178
555	45859	119101
556	45945	119029
557	46025	118939
558	46106	118854
559	46193	118783
560	46280	118711
561	46365	118636
562	46446	118551
563	46531	118474
564	46609	118380
565	46693	118301
566	46775	118216
567	46855	118129
568	46934	118038
569	47014	117949
570	47097	117868
571	47177	117779
572	47262	117703
573	47342	117614
574	47425	117533
575	47505	117443
576	47586	117357
577	47673	117285
578	47753	117198
579	47833	117109
580	47914	117023
581	47995	116937
582	48079	116857
583	48159	116770
584	48243	116691
585	48327	116613
586	48414	116541
587	48494	116452
588	48574	116364
589	48654	116276
590	48740	116202
591	48824	116123
592	48910	116048
593	48989	115959
594	49072	115876
595	49153	115790
596	49233	115703
597	49317	115625
598	49398	115537
599	49480	115454
600	49561	115367
601	49644	115288
602	49724	115198
603	49807	115117
604	49887	115029
605	49967	114942
606	50051	114862
607	50132	114777
608	50216	114697
609	50299	114616
610	50380	114531
611	50462	114448
612	50541	114356
613	50626	114281
614	50708	114198
615	50789	114112
616	50869	114023
617	50950	113937
618	51032	113853
619	51115	113772
620	51194	113682
621	51278	113603
622	51358	113515
623	51438	113429
624	51522	113349
625	51603	113263
626	51686	113183
627	51766	113095
628	51848	113012
629	51929	112925
630	52013	112846
631	52094	112760
632	52180	112686
633	52261	112602
634	52343	112517
635	52423	112430
636	52507	112350
637	52587	112263
638	52670	112181
639	52751	112096
640	52834	112015
641	52918	111937
642	53004	111861
643	53082	111768
644	53163	111684
645	53246	111602
646	53328	111519
647	53407	111431
648	53488	111344
649	53570	111261
650	53654	111182
651	53733	111093
652	53821	111022
653	53904	110941
654	53987	110859
655	54068	110775
656	54148	110686
657	54229	110600
658	54313	110522
659	54394	110438
660	54480	110362
661	54567	110288
662	54653	110214
663	54740	110139
664	54820	110053
665	54901	109968
666	54980	109879
667	55061	109792
668	55140	109703
669	55219	109615
670	55301	109530
671	55386	109453
672	55469	109372
673	55551	109289
674	55637	109213
675	55719	109130
676	55801	109046
677	55886	108969
678	55970	108891
679	56052	108807
680	56135	108726
681	56218	108645
682	56301	108563
683	56383	108480
684	56465	108397
685	56547	108314
686	56634	108240
687	56715	108155
688	56796	108070
689	56878	107987
690	56958	107899
691	57043	107822
692	57124	107736
693	57204	107649
694	57284	107563
695	57368	107483
696	57454	107407
697	57534	107320
698	57615	107236
699	57697	107152
700	57776	107063
701	57860	106984
702	57941	106899
703	58025	106819
704	58107	106736
705	58188	106651
706	58276	106580
707	58355	106489
708	58440	106412
709	58522	106330
710	58608	106253
711	58687	106165
712	58771	106084
713	58852	106000
714	58936	105920
715	59016	105834
716	59097	105749
717	59180	105668
718	59261	105583
719	59340	105494
720	59425	105417
721	59508	105334
722	59587	105247
723	59667	105159
724	59749	105077
725	59831	104992
726	59912	104909
727	59995	104826
728	60075	104740
729	60156	104655
730	60241	104578
731	60323	104494
732	60407	104415
733	60490	104333
734	60573	104252
735	60657	104173
736	60738	104087
737	60819	104003
738	60900	103917
739	60984	103837
740	61066	103755
741	61146	103668
742	61227	103584
743	61309	103501
744	61390	103416
745	61473	103334
746	61553	103248
747	61639	103171
748	61719	103085
749	61805	103009
750	61886	102925
751	61972	102848
752	62057	102770
753	62139	102687
754	62225	102609
755	62304	102522
756	62387	102441
757	62472	102362
758	62551	102273
759	62633	102191
760	62713	102104
761	62795	102022
762	62880	101943
763	62959	101856
764	63043	101776
765	63123	101689
766	63204	101605
767	63289	101526
768	63372	101444
769	63458	101368
770	63545	101293
771	63631	101217
772	63712	101131
773	63798	101054
774	63883	100977
775	63965	100893
776	64045	100807
777	64126	100722
778	64206	100636
779	64287	100551
780	64369	100469
781	64453	100389
782	64535	100306
783	64621	100229
784	64705	100149
785	64785	100062
786	64864	99975
787	64945	99891
788	65026	99806
789	65107	99721
790	65193	99644
791	65274	99560
792	65358	99479
793	65446	99405
794	65524	99317
795	65607	99235
796	65695	99160
797	65776	99077
798	65861	98998
799	65942	98914
800	66024	98831
801	66106	98747
802	66185	98659
803	66273	98585
804	66357	98505
805	66436	98418
806	66519	98337
807	66602	98255
808	66685	98174
809	66768	98092
810	66854	98014
811	66939	97936
812	67020	97851
813	67104	97770
814	67184	97684
815	67265	97600
816	67348	97520
817	67430	97436
818	67514	97355
819	67593	97269
820	67676	97187
821	67758	97104
822	67839	97019
823	67922	96937
824	68006	96857
825	68085	96770
826	68172	96695
827	68255	96612
828	68335	96526
829	68419	96446
830	68498	96360
831	68582	96279
832	68667	96200
833	68749	96117
834	68835	96039
835	68919	95959
836	69003	95880
837	69089	95801
838	69169	95716
839	69250	95632
840	69334	95551
841	69421	95475
842	69505	95395
843	69588	95313
844	69670	95229
845	69752	95147
846	69835	95064
847	69919	94985
848	69999	94898
849	70084	94820
850	70165	94735
851	70249	94655
852	70335	94577
853	70419	94497
854	70500	94413
855	70585	94333
856	70665	94247
857	70748	94166
858	70834	94088
859	70914	94003
860	70996	93920
861	71080	93839
862	71164	93759
863	71250	93681
864	71332	93598
865	71413	93514
866	71496	93432
867	71580	93351
868	71663	93269
869	71744	93185
870	71828	93104
871	71911	93023
872	71991	92938
873	72076	92858
874	72156	92772
875	72238	92689
876	72323	92610
877	72405	92526
878	72488	92445
879	72571	92363
880	72654	92281
881	72735	92197
882	72817	92114
883	72896	92028
884	72982	91949
885	73062	91864
886	73144	91781
887	73224	91694
888	73305	91611
889	73389	91530
890	73470	91446
891	73551	91362
892	73631	91277
893	73717	91198
894	73803	91119
895	73885	91037
896	73963	90950
897	74044	90865
898	74130	90787
899	74210	90702
900	74295	90622
901	74373	90534
902	74453	90449
903	74536	90366
904	74617	90283
905	74699	90199
906	74779	90114
907	74867	90039
908	74952	89958
909	75030	89871
910	75110	89786
911	75195	89706
912	75274	89620
913	75360	89542
914	75442	89459
915	75529	89381
916	75612	89300
917	75699	89222
918	75779	89138
919	75862	89056
920	75945	88974
921	76028	88892
922	76110	88808
923	76193	88727
924	76276	88645
925	76360	88564
926	76438	88477
927	76521	88395
928	76605	88315
929	76687	88232
930	76775	88155
931	76858	88073
932	76944	87994
933	77028	87914
934	77113	87835
935	77199	87756
936	77284	87676
937	77364	87591
938	77450	87512
939	77530	87427
940	77614	87347
941	77695	87262
942	77775	87178
943	77862	87100
944	77945	87018
945	78031	86940
946	78113	86856
947	78195	86773
948	78279	86692
949	78358	86606
950	78439	86523
951	78526	86445
952	78608	86361
953	78689	86278
954	78771	86194
955	78853	86111
956	78936	86030
957	79016	85945
958	79099	85862
959	79179	85777
960	79261	85694
961	79345	85613
962	79427	85530
963	79511	85450
964	79592	85366
965	79678	85287
966	79764	85208
967	79845	85124
968	79929	85043
969	80009	84958
970	80096	84880
971	80178	84797
972	80260	84715
973	80342	84631
974	80428	84553
975	80512	84471
976	80592	84387
977	80675	84304
978	80762	84227
979	80845	84145
980	80926	84061
981	81009	83979
982	81087	83892
983	81174	83814
984	81256	83731
985	81338	83648
986	81420	83565
987	81503	83483
988	81591	83406
989	81673	83323
990	81754	83239
991	81836	83156
992	81917	83072
993	82000	82990
994	82082	82907
995	82167	82827
996	82253	82748
997	82336	82666
998	82419	82584
999	82503	82503
1000	82587	82422
1001	82668	82338
1002	82751	82256
1003	82832	82172
1004	82913	82088
1005	82997	82007
1006	83090	81935
1007	83172	81852
1008	83256	81771
1009	83344	81694
1010	83429	81614
1011	83516	81535
1012	83598	81453
1013	83681	81370
1014	83764	81288
1015	83852	81211
1016	83937	81130
1017	84018	81046
1018	84101	80965
1019	84184	80883
1020	84264	80798
1021	84349	80718
1022	84432	80636
1023	84513	80552
1024	84596	80470
1025	84679	80387
1026	84762	80305
1027	84844	80222
1028	84923	80136
1029	85005	80053
1030	85087	79970
1031	85170	79889
1032	85250	79804
1033	85337	79725
1034	85418	79641
1035	85506	79563
1036	85586	79479
1037	85670	79398
1038	85755	79317
1039	85841	79238
1040	85921	79153
1041	86010	79076
1042	86092	78993
1043	86174	78910
1044	86259	78830
1045	86340	78746
1046	86422	78663
1047	86504	78580
1048	86588	78499
1049	86669	78415
1050	86752	78333
1051	86834	78250
1052	86921	78171
1053	87004	78089
1054	87087	78007
1055	87170	77925
1056	87252	77841
1057	87337	77761
1058	87420	77679
1059	87502	77596
1060	87584	77513
1061	87672	77435
1062	87756	77354
1063	87838	77271
1064	87925	77192
1065	88005	77108
1066	88089	77026
1067	88173	76945
1068	88255	76862
1069	88341	76782
1070	88423	76699
1071	88503	76615
1072	88585	76532
1073	88667	76449
1074	88751	76367
1075	88832	76283
1076	88915	76201
1077	88998	76119
1078	89083	76038
1079	89164	75955
1080	89247	75873
1081	89328	75788
1082	89407	75703
1083	89491	75621
1084	89576	75541
1085	89662	75462
1086	89743	75378
1087	89826	75295
1088	89910	75214
1089	89992	75131
1090	90074	75048
1091	90157	74965
1092	90238	74882
1093	90324	74802
1094	90408	74721
1095	90490	74637
1096	90572	74554
1097	90657	74474
1098	90739	74391
1099	90822	74309
1100	90907	74229
1101	90986	74143
1102	91068	74060
1103	91151	73977
1104	91235	73896
1105	91317	73813
1106	91399	73730
1107	91482	73648
1108	91563	73564
1109	91644	73480
1110	91727	73398
1111	91809	73315
1112	91894	73234
1113	91978	73153
1114	92058	73069
1115	92142	72987
1116	92222	72903
1117	92305	72820
1118	92391	72740
1119	92470	72655
1120	92553	72572
1121	92636	72491
1122	92716	72406
1123	92801	72325
1124	92882	72241
1125	92963	72158
1126	93047	72076
1127	93130	71994
1128	93208	71908
1129	93291	71826
1130	93374	71743
1131	93456	71660
1132	93539	71579
1133	93621	71495
1134	93706	71414
1135	93788	71332
1136	93873	71251
1137	93951	71165
1138	94037	71085
1139	94119	71002
1140	94203	70921
1141	94284	70837
1142	94371	70758
1143	94456	70677
1144	94538	70594
1145	94623	70513
1146	94707	70432
1147	94789	70349
1148	94868	70263
1149	94951	70181
1150	95036	70100
1151	95118	70017
1152	95198	69933
1153	95280	69850
1154	95367	69770
1155	95450	69688
1156	95533	69606
1157	95619	69526
1158	95701	69443
1159	95786	69362
1160	95868	69279
1161	95952	69197
1162	96036	69116
1163	96117	69032
1164	96200	68950
1165	96286	68870
1166	96365	68785
1167	96450	68704
1168	96531	68620
1169	96615	68538
1170	96696	68455
1171	96775	68370
1172	96860	68289
1173	96942	68206
1174	97020	68120
1175	97106	68040
1176	97187	67956
1177	97272	67876
1178	97355	67794
1179	97442	67714
1180	97526	67632
1181	97604	67547
1182	97691	67467
1183	97774	67384
1184	97857	67302
1185	97939	67219
1186	98017	67134
1187	98100	67052
1188	98185	66970
1189	98269	66889
1190	98354	66808
1191	98432	66722
1192	98518	66642
1193	98601	66559
1194	98683	66477
1195	98770	66397
1196	98849	66312
1197	98935	66232
1198	99018	66149
1199	99103	66069
1200	99187	65987
1201	99272	65906
1202	99351	65821
1203	99435	65739
1204	99516	65656
1205	99596	65571
1206	99682	65491
1207	99765	65409
1208	99850	65328
1209	99932	65245
1210	100019	65165
1211	100104	65084
1212	100184	65000
1213	100266	64917
1214	100345	64832
1215	100426	64748
1216	100512	64667
1217	100598	64587
1218	100681	64505
1219	100762	64421
1220	100844	64339
1221	100928	64257
1222	101012	64175
1223	101092	64091
1224	101175	64009
1225	101253	63923
1226	101331	63838
1227	101418	63758
1228	101502	63676
1229	101584	63593
1230	101668	63511
1231	101749	63428
1232	101826	63342
1233	101913	63262
1234	101992	63177
1235	102070	63092
1236	102155	63010
1237	102238	62928
1238	102322	62847
