iter	RMSE
0	27.4629414
1	27.34862941
2	27.23725194
3	27.12671922
4	27.01925409
5	26.91273444
6	26.80943843
7	26.70697147
8	26.60646042
9	26.50653209
10	26.40913385
11	26.3141404
12	26.22080202
13	26.12861553
14	26.03842682
15	25.94942019
16	25.86186422
17	25.77587582
18	25.6914909
19	25.60827234
20	25.52728783
21	25.4472159
22	25.36817033
23	25.2910189
24	25.21475211
25	25.13906782
26	25.06528318
27	24.99306508
28	24.9220539
29	24.85246656
30	24.78292403
31	24.71404962
32	24.64782696
33	24.58272898
34	24.51883726
35	24.45581694
36	24.39257534
37	24.33080658
38	24.26861595
39	24.20969836
40	24.15164219
41	24.09437461
42	24.03831209
43	23.98300399
44	23.92825964
45	23.8756588
46	23.82327006
47	23.77124564
48	23.72051667
49	23.67096863
50	23.62162407
51	23.57298655
52	23.5262139
53	23.47998662
54	23.43337257
55	23.38869951
56	23.34442898
57	23.30118914
58	23.25790933
59	23.21453841
60	23.17351288
61	23.13122611
62	23.09152498
63	23.04992669
64	23.0117907
65	22.971942
66	22.93236735
67	22.89587636
68	22.85833729
69	22.82073599
70	22.78395072
71	22.74947066
72	22.71549921
73	22.68008101
74	22.64700793
75	22.61386048
76	22.5827822
77	22.54942679
78	22.5177885
79	22.48591463
80	22.45738703
81	22.42654928
82	22.39797464
83	22.36845228
84	22.3397718
85	22.31125799
86	22.28213033
87	22.25500517
88	22.22782982
89	22.20068681
90	22.17529941
91	22.14978077
92	22.1246766
93	22.09945512
94	22.07417974
95	22.04882501
96	22.02534759
97	22.00231065
98	21.97870396
99	21.95604158
100	21.93192167
101	21.9101639
102	21.88684262
103	21.86354202
104	21.84247795
105	21.82147229
106	21.79987924
107	21.77864088
108	21.75852445
109	21.73904438
110	21.7197543
111	21.70058562
112	21.6819752
113	21.66337426
114	21.64458609
115	21.62677923
116	21.6092203
117	21.59126422
118	21.57316451
119	21.55596149
120	21.53811872
121	21.52150404
122	21.50407277
123	21.48706628
124	21.46973667
125	21.45377861
126	21.43838179
127	21.42282729
128	21.40730315
129	21.39071183
130	21.37565906
131	21.36072295
132	21.34605746
133	21.33232751
134	21.31656333
135	21.30030639
136	21.28556649
137	21.26959261
138	21.25459947
