iter	RMSE
139	21.24135202
140	21.22592888
141	21.21214642
142	21.19946374
143	21.1859304
144	21.17222416
145	21.15758661
146	21.14528792
147	21.13308691
148	21.12180956
149	21.10870297
150	21.09505114
151	21.08263611
152	21.06933026
153	21.05552973
154	21.04286072
155	21.02930276
156	21.01909784
157	21.00818049
158	20.99557708
159	20.98146134
160	20.96937299
161	20.95924924
162	20.94969979
163	20.93818168
164	20.92723383
165	20.91731854
166	20.90724519
167	20.8967029
168	20.88536054
169	20.87438851
170	20.86395389
171	20.85344711
172	20.84262112
173	20.83286968
174	20.82178261
175	20.8109297
176	20.80164436
177	20.79025314
178	20.78092083
179	20.76949603
180	20.75956053
181	20.75044436
182	20.7413632
183	20.73248371
184	20.72417496
185	20.7149788
186	20.70490443
187	20.69649155
188	20.68501123
189	20.67431498
190	20.66344211
191	20.65004909
192	20.64203683
193	20.63190637
194	20.62335316
195	20.61277818
196	20.60142189
197	20.59138768
198	20.58242509
199	20.57415432
200	20.56441517
201	20.55630811
202	20.54786738
203	20.53631449
204	20.52763763
205	20.51706951
206	20.50857116
207	20.49947184
208	20.49171831
209	20.48158685
210	20.47038272
211	20.4623734
212	20.45368885
213	20.44436406
214	20.43437643
215	20.42580751
216	20.41617895
217	20.40762717
218	20.39965313
219	20.39191081
220	20.38371042
221	20.37596881
222	20.36658983
223	20.35890563
224	20.35167333
225	20.34350617
226	20.33629884
227	20.32857281
228	20.31899403
229	20.31101323
230	20.30201334
231	20.29265228
232	20.28152861
233	20.27284142
234	20.26390655
235	20.25491799
236	20.24604167
237	20.2381494
238	20.22970624
239	20.222611
240	20.21487719
241	20.20751683
242	20.20041428
243	20.19187342
244	20.18225703
245	20.17239565
246	20.16464088
247	20.15694777
248	20.15003704
249	20.14279365
250	20.13588438
251	20.12972829
252	20.12295734
253	20.11605056
254	20.10747117
255	20.09878987
256	20.09088883
257	20.08364432
258	20.07655549
259	20.06908034
260	20.06255842
261	20.05664804
262	20.04860932
263	20.04084529
264	20.03444687
265	20.02542572
266	20.01940517
267	20.01177195
268	20.00373731
269	19.99497044
270	19.98828761
271	19.97979341
272	19.97383196
273	19.96682239
274	19.96025754
275	19.95254439
276	19.94426571
277	19.93726231
278	19.92998617
279	19.92281775
280	19.91522508
281	19.90790317
282	19.90260589
283	19.89444507
284	19.88757883
285	19.88230769
286	19.87499924
287	19.86670805
288	19.85834613
289	19.85094974
290	19.84308142
291	19.8367231
292	19.8311578
293	19.8240213
294	19.81858068
295	19.81091729
296	19.80582275
297	19.79910001
298	19.79377893
299	19.78785229
300	19.78029078
301	19.7747548
302	19.76912193
303	19.76119719
304	19.75553103
305	19.74870462
306	19.74249506
307	19.73746412
308	19.73147064
309	19.72708277
310	19.72218171
311	19.71609513
312	19.70883926
313	19.70345684
314	19.69760639
315	19.69170811
316	19.68421441
317	19.67880576
318	19.6734477
319	19.66772453
320	19.6633025
321	19.65756765
322	19.65380885
323	19.64543691
324	19.6360992
325	19.63064523
326	19.62495945
327	19.61971355
328	19.61499975
329	19.60925268
330	19.60253894
331	19.59667004
332	19.59399809
333	19.58915176
334	19.58462108
335	19.58014694
336	19.57209966
337	19.56656121
338	19.56210397
339	19.55403924
340	19.54702073
341	19.54251013
342	19.53712064
343	19.53219404
344	19.52738961
345	19.52204095
346	19.51737372
347	19.51053824
348	19.5057559
349	19.50050172
350	19.49612662
351	19.48923756
352	19.48362
353	19.47880064
354	19.47424066
355	19.46857529
356	19.46253822
357	19.45535331
358	19.45071798
359	19.44559994
360	19.44017431
361	19.4350686
362	19.42965214
363	19.42500515
364	19.41917376
365	19.41468774
366	19.41021981
367	19.40459028
368	19.39850467
369	19.39329804
370	19.38885151
371	19.38314667
372	19.37859917
373	19.37323809
374	19.36913864
375	19.36269429
376	19.35695008
377	19.35227094
378	19.34798863
379	19.34339505
380	19.33859236
381	19.33357765
382	19.32996359
383	19.326257
384	19.32239302
385	19.31805839
386	19.31531429
387	19.30997865
388	19.30566368
389	19.30068071
390	19.29471602
391	19.28928806
392	19.28452344
393	19.2821349
394	19.27853102
395	19.27035885
396	19.26699439
397	19.26312697
398	19.25872101
399	19.25199313
400	19.24636296
401	19.24304251
402	19.23886961
403	19.23178026
404	19.22947375
405	19.22492417
406	19.22161143
407	19.216169
408	19.21036945
409	19.20509783
410	19.20015304
411	19.19588565
412	19.19333169
413	19.18694697
414	19.1833042
415	19.17699718
416	19.16782
417	19.16403863
418	19.16084265
419	19.1551491
420	19.15089785
421	19.14824427
422	19.14482634
423	19.14171533
424	19.13771791
425	19.13458999
426	19.12938587
427	19.12078324
428	19.11468129
429	19.11121722
430	19.108045
431	19.10443854
432	19.09911497
433	19.09662897
434	19.09156565
435	19.08703522
436	19.08364098
437	19.07533281
438	19.07178915
439	19.06596122
440	19.06191125
441	19.05720805
442	19.0527663
443	19.04657377
444	19.04073262
445	19.03696492
446	19.03393439
447	19.03058941
448	19.02146808
449	19.01740598
450	19.01416268
451	19.01027486
452	19.00624214
453	19.00108227
454	18.99793211
455	18.99278085
456	18.98837776
457	18.98594076
458	18.98306363
459	18.97954801
460	18.97544473
461	18.96980318
462	18.96293423
463	18.95786891
464	18.95189018
465	18.94733138
466	18.94336534
467	18.94044862
468	18.93719197
469	18.93455376
470	18.93056067
471	18.92664066
472	18.9233718
473	18.917413
474	18.91296908
475	18.90716309
476	18.90483537
477	18.90038418
478	18.89711383
479	18.89268232
480	18.88853521
481	18.88421817
482	18.88134308
483	18.8769715
484	18.87317788
485	18.86900984
486	18.86519063
487	18.86089376
488	18.85707715
489	18.8523102
490	18.8496635
491	18.84509942
492	18.84090679
493	18.83599551
494	18.83295764
495	18.83020129
496	18.82426095
497	18.81941533
498	18.81557685
499	18.81103898
500	18.80793784
501	18.80399605
502	18.79981714
503	18.79373199
504	18.7895588
505	18.78300755
506	18.77931065
507	18.77518331
508	18.77126707
509	18.76694206
510	18.76291862
511	18.75868294
